07:24:58.912 [ATL-Logging-Thread] INFO  - Organising filesystem

07:24:59.178 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.38.2 [ec6ff701c19464cb227a7a2dba1ae7ecfe380bd0]

07:24:59.178 [ATL-Logging-Thread] INFO  - App Arguments: []

07:24:59.194 [ATL-Logging-Thread] INFO  - JVM Arguments: []

07:24:59.195 [ATL-Logging-Thread] INFO  - Java Version: Java 23 (23.0.2)

07:24:59.195 [ATL-Logging-Thread] INFO  - Java Path: C:\Program Files\Java\jdk-17

07:24:59.195 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

07:24:59.195 [ATL-Logging-Thread] INFO  - RAM Available: 6096MB

07:24:59.195 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

07:24:59.412 [ATL-Logging-Thread] INFO  - GPU: Radeon(TM) RX 460 Graphics (Advanced Micro Devices, Inc. (0x1002)) DriverVersion=27.20.1034.6 4095MB VRAM

07:24:59.412 [ATL-Logging-Thread] INFO  - GPU: Citrix Indirect Display Adapter (Citrix Systems Inc. (0x5853)) DriverVersion=12.40.44.247 0MB VRAM

07:24:59.479 [ATL-Logging-Thread] INFO  - CPU: Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz 4 cores/8 threads

07:24:59.529 [ATL-Logging-Thread] INFO  - Operating System: Windows (10 (Home) build 19045)

07:24:59.529 [ATL-Logging-Thread] INFO  - Bitness: 64

07:24:59.529 [ATL-Logging-Thread] INFO  - Uptime: 135302

07:24:59.546 [ATL-Logging-Thread] INFO  - Manufacturer: Microsoft

07:25:18.998 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

07:25:18.998 [ATL-Logging-Thread] INFO  - Checking for updated files!

07:25:30.427 [ATL-Logging-Thread] INFO  - Finished downloading updated files!

07:25:30.783 [ATL-Logging-Thread] INFO  - Launcher finished loading everything

07:25:30.787 [ATL-Logging-Thread] WARN  - Launcher not setup. Loading Setup Dialog

07:25:33.733 [ATL-Logging-Thread] INFO  - Launcher opening

07:25:33.734 [ATL-Logging-Thread] INFO  - Made By Bob*

07:25:33.735 [ATL-Logging-Thread] INFO  - *(Not Actually)

07:25:33.739 [ATL-Logging-Thread] INFO  - Setting up Bottom Bar

07:25:33.777 [ATL-Logging-Thread] INFO  - Finished Setting up Bottom Bar

07:25:33.777 [ATL-Logging-Thread] INFO  - Setting up Tabs

07:25:34.256 [ATL-Logging-Thread] INFO  - Finished Setting up Tabs

07:25:34.274 [ATL-Logging-Thread] INFO  - Showing Launcher

07:25:51.251 [ATL-Logging-Thread] INFO  - Added Microsoft Account PearlYapper3193

07:25:51.628 [ATL-Logging-Thread] INFO  - Changed account to PearlYapper3193

07:25:51.692 [ATL-Logging-Thread] INFO  - Downloading skin for PearlYapper3193

07:29:36.483 [ATL-Logging-Thread] INFO  - Started install of Minecraft version 1.21.4

07:29:36.484 [ATL-Logging-Thread] INFO  - Using loader version 0.16.10

07:34:26.794 [ATL-Logging-Thread] ERROR - Error trying to download 8ee9d608f0bbb2d0513af7bfc1b55e591ada05ea

07:34:26.796 [ATL-Logging-Thread] ERROR - java.net.SocketException: Network is unreachable: getsockopt

07:34:26.797 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.Net.pollConnect(Native Method)

07:34:26.798 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:682)

07:34:26.799 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.NioSocketImpl.timedFinishConnect(NioSocketImpl.java:542)

07:34:26.799 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.NioSocketImpl.connect(NioSocketImpl.java:592)

07:34:26.803 [ATL-Logging-Thread] ERROR - 	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:327)

