16:12:49.375 [ATL-Logging-Thread] INFO  - Organising filesystem

16:12:49.675 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.38.2 [ec6ff701c19464cb227a7a2dba1ae7ecfe380bd0]

16:12:49.675 [ATL-Logging-Thread] INFO  - App Arguments: []

16:12:49.675 [ATL-Logging-Thread] INFO  - JVM Arguments: []

16:12:49.675 [ATL-Logging-Thread] INFO  - Java Version: Java 23 (23.0.2)

16:12:49.675 [ATL-Logging-Thread] INFO  - Java Path: C:\Program Files\Java\jdk-17

16:12:49.692 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

16:12:49.709 [ATL-Logging-Thread] INFO  - RAM Available: 6096MB

16:12:49.709 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

16:12:51.944 [ATL-Logging-Thread] INFO  - GPU: Radeon(TM) RX 460 Graphics (Advanced Micro Devices, Inc. (0x1002)) DriverVersion=27.20.1034.6 4095MB VRAM

16:12:51.944 [ATL-Logging-Thread] INFO  - GPU: Citrix Indirect Display Adapter (Citrix Systems Inc. (0x5853)) DriverVersion=12.40.44.247 0MB VRAM

16:12:52.044 [ATL-Logging-Thread] INFO  - CPU: Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz 4 cores/8 threads

16:12:52.111 [ATL-Logging-Thread] INFO  - Operating System: Windows (10 (Home) build 19045)

16:12:52.111 [ATL-Logging-Thread] INFO  - Bitness: 64

16:12:52.111 [ATL-Logging-Thread] INFO  - Uptime: 166974

16:12:52.111 [ATL-Logging-Thread] INFO  - Manufacturer: Microsoft

16:12:58.067 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

16:12:58.082 [ATL-Logging-Thread] INFO  - Checking for updated files!

16:12:59.697 [ATL-Logging-Thread] INFO  - Launcher finished loading everything

16:12:59.709 [ATL-Logging-Thread] INFO  - Launcher opening

16:12:59.710 [ATL-Logging-Thread] INFO  - Made By Bob*

16:12:59.710 [ATL-Logging-Thread] INFO  - *(Not Actually)

16:12:59.714 [ATL-Logging-Thread] INFO  - Setting up Bottom Bar

16:12:59.791 [ATL-Logging-Thread] INFO  - Finished Setting up Bottom Bar

16:12:59.792 [ATL-Logging-Thread] INFO  - Setting up Tabs

16:13:00.352 [ATL-Logging-Thread] INFO  - Finished Setting up Tabs

16:13:00.367 [ATL-Logging-Thread] INFO  - Showing Launcher

16:13:08.305 [ATL-Logging-Thread] INFO  - Preparing for launch!

16:13:12.095 [ATL-Logging-Thread] INFO  - Launching pack Minecraft 1.21.4 (Vanilla) for Minecraft 1.21.4

16:13:12.096 [ATL-Logging-Thread] INFO  - Logging into Minecraft!

16:13:12.159 [ATL-Logging-Thread] INFO  - Using Java runtime java-runtime-delta (Java 21.0.3) at path **USERSDIR**\runtimes\minecraft\java-runtime-delta\windows-x64\java-runtime-delta

16:13:13.777 [ATL-Logging-Thread] INFO  - Loader: Fabric 0.16.10

